id,category,source,file,ru,gloss
ca05b43ecb05b5d1,vocabulary,ai,audio/ca05b43ecb05b5d1.mp3,я,I
1bed754a52f904d2,vocabulary,ai,audio/1bed754a52f904d2.mp3,ты,"you (sing., informal)"
3d0239ba82f95062,vocabulary,ai,audio/3d0239ba82f95062.mp3,вы,you (formal/plural)
070c7214080a3510,vocabulary,ai,audio/070c7214080a3510.mp3,он,"he, it"
19b00b57a36b370b,vocabulary,ai,audio/19b00b57a36b370b.mp3,она́,"she, it"
7513a71084f95388,vocabulary,ai,audio/7513a71084f95388.mp3,мы,we
49c0b89f9dfd3ee3,vocabulary,ai,audio/49c0b89f9dfd3ee3.mp3,они́,they
7ff398a98002a333,vocabulary,ai,audio/7ff398a98002a333.mp3,да,yes
5dadc93f3aaf66b2,vocabulary,ai,audio/5dadc93f3aaf66b2.mp3,нет,"no, there is not"
8f1191678af5e891,vocabulary,ai,audio/8f1191678af5e891.mp3,не,not
a2b14d11c5420032,vocabulary,ai,audio/a2b14d11c5420032.mp3,здра́вствуйте,hello (formal)
3d28f2648900a8e5,vocabulary,ai,audio/3d28f2648900a8e5.mp3,приве́т,hi (informal)
197b8ed23e536dcc,vocabulary,ai,audio/197b8ed23e536dcc.mp3,спаси́бо,thank you
f656dfaff698308e,vocabulary,ai,audio/f656dfaff698308e.mp3,пожа́луйста,please; you're welcome
2539b6df4e51a1b8,vocabulary,ai,audio/2539b6df4e51a1b8.mp3,извини́те,"excuse me, sorry (formal)"
3d0669473c0667b4,vocabulary,ai,audio/3d0669473c0667b4.mp3,и,and
881186628b13c9b2,vocabulary,ai,audio/881186628b13c9b2.mp3,но,but
4a2c6b9648302b1b,vocabulary,ai,audio/4a2c6b9648302b1b.mp3,что,what; that
77ab11f9132fd7ac,vocabulary,ai,audio/77ab11f9132fd7ac.mp3,кто,who
9d9d5dd5ecc9175c,vocabulary,ai,audio/9d9d5dd5ecc9175c.mp3,где,where
9970de61b45d4487,vocabulary,ai,audio/9970de61b45d4487.mp3,когда́,when
8d41e587943d48a0,vocabulary,ai,audio/8d41e587943d48a0.mp3,э́тот,this
47b79f3eed0028b4,vocabulary,ai,audio/47b79f3eed0028b4.mp3,челове́к,"person, human"
a8a826b485c4babb,vocabulary,ai,audio/a8a826b485c4babb.mp3,вода́,water
85985341cc0b5bac,vocabulary,ai,audio/85985341cc0b5bac.mp3,дом,"house, home"
7235311b4c683ba7,vocabulary,ai,audio/7235311b4c683ba7.mp3,быть,to be
ca6726bdcf107ea2,vocabulary,ai,audio/ca6726bdcf107ea2.mp3,знать,to know
85df2e6dacc70cc7,vocabulary,ai,audio/85df2e6dacc70cc7.mp3,де́лать / сде́лать,"to do, to make"
d542745f43838c13,vocabulary,ai,audio/d542745f43838c13.mp3,говори́ть / сказа́ть,to speak / to say
34453479ae35a083,vocabulary,ai,audio/34453479ae35a083.mp3,ви́деть / уви́деть,to see
5ee3ddc431157109,vocabulary,ai,audio/5ee3ddc431157109.mp3,знать / узна́ть,to know / to find out
e968ae81d0c2aff4,vocabulary,ai,audio/e968ae81d0c2aff4.mp3,ду́мать / поду́мать,to think
1b05428b57764b06,vocabulary,ai,audio/1b05428b57764b06.mp3,хоте́ть / захоте́ть,to want
ab1d815b72e3c0f7,vocabulary,ai,audio/ab1d815b72e3c0f7.mp3,мочь / смочь,"to be able to, can"
dbb9a3f0cd061438,vocabulary,ai,audio/dbb9a3f0cd061438.mp3,идти́ / пойти́,to go (on foot)
dbffe255646bc9e3,vocabulary,ai,audio/dbffe255646bc9e3.mp3,дава́ть / дать,to give
f10608c19256113e,vocabulary,ai,audio/f10608c19256113e.mp3,брать / взять,to take
755dd06e7d0a8f2d,vocabulary,ai,audio/755dd06e7d0a8f2d.mp3,де́латься / стать,to become
d23bc7e1993a4bc0,vocabulary,ai,audio/d23bc7e1993a4bc0.mp3,рабо́тать / порабо́тать,to work
7f2d42f948ee23e8,vocabulary,ai,audio/7f2d42f948ee23e8.mp3,писа́ть / написа́ть,to write
9d3c720bed9cb59f,vocabulary,ai,audio/9d3c720bed9cb59f.mp3,чита́ть / прочита́ть,to read
a48fa9f5e3ca4e84,vocabulary,ai,audio/a48fa9f5e3ca4e84.mp3,понима́ть / поня́ть,to understand
3ad340593188ba6c,vocabulary,ai,audio/3ad340593188ba6c.mp3,спра́шивать / спроси́ть,to ask (a question)
c87499ad791851ba,vocabulary,ai,audio/c87499ad791851ba.mp3,отвеча́ть / отве́тить,to answer
e63f23de51989ffd,vocabulary,ai,audio/e63f23de51989ffd.mp3,получа́ть / получи́ть,"to receive, to get"
f168f282bb5ebb2a,vocabulary,ai,audio/f168f282bb5ebb2a.mp3,находи́ть / найти́,to find
e235e545f6e2f234,vocabulary,ai,audio/e235e545f6e2f234.mp3,начина́ть / нача́ть,"to begin, to start"
8d7d7dd0c6a2c1bd,vocabulary,ai,audio/8d7d7dd0c6a2c1bd.mp3,конча́ть / ко́нчить,to finish
6671e0845ae98c30,vocabulary,ai,audio/6671e0845ae98c30.mp3,понима́ться / разобра́ться,"to figure out, sort out"
6cf65013533829f2,vocabulary,ai,audio/6cf65013533829f2.mp3,пока́зывать / показа́ть,to show
e4771f97f5cf0ed1,vocabulary,ai,audio/e4771f97f5cf0ed1.mp3,семья́,family
c5b5ebff42075a23,vocabulary,ai,audio/c5b5ebff42075a23.mp3,мать,mother
7a14b75bc04bf4f4,vocabulary,ai,audio/7a14b75bc04bf4f4.mp3,оте́ц,father
b588efa88252324d,vocabulary,ai,audio/b588efa88252324d.mp3,сын,son
99323b44abeaf4fa,vocabulary,ai,audio/99323b44abeaf4fa.mp3,дочь,daughter
bf7730ea0477f1c0,vocabulary,ai,audio/bf7730ea0477f1c0.mp3,брат,brother
844dc18f0929ad62,vocabulary,ai,audio/844dc18f0929ad62.mp3,сестра́,sister
4e03c2c0a17947d7,vocabulary,ai,audio/4e03c2c0a17947d7.mp3,жена́,wife
840a0dba141caecf,vocabulary,ai,audio/840a0dba141caecf.mp3,муж,husband
0e6baeff5f2c711a,vocabulary,ai,audio/0e6baeff5f2c711a.mp3,ребёнок,child
99782b27607138eb,vocabulary,ai,audio/99782b27607138eb.mp3,друг,friend
de6bdb854f1d93b3,vocabulary,ai,audio/de6bdb854f1d93b3.mp3,сосе́д,neighbour
562b475efd2585a0,vocabulary,ai,audio/562b475efd2585a0.mp3,врач,"doctor, physician"
c1a8e67a272bb0c0,vocabulary,ai,audio/c1a8e67a272bb0c0.mp3,учи́тель,teacher
b1412b80a6535dd6,vocabulary,ai,audio/b1412b80a6535dd6.mp3,инжене́р,engineer
c1c42223484f5ac1,vocabulary,ai,audio/c1c42223484f5ac1.mp3,юри́ст,"lawyer, jurist"
